V,I,G,P,no_module_fault,fault,partial_shading
138.56117,10.44128,894.90908,1446.755973,0,0,0
138.82421,10.45748,894.78028,1451.7514,0,0,0
134.20681,10.55733,894.88375,1416.865581,0,0,0
138.49547,10.54805,894.74557,1460.857142,0,0,0
136.8647,10.52581,895.03406,1440.611828,0,0,0
138.13733,10.54347,894.90994,1456.446795,0,0,0
137.23904,10.53241,894.85309,1445.457837,0,0,0
137.56863,10.53769,895.07238,1449.655577,0,0,0
137.89884,10.54662,895.076,1454.366664,0,0,0
137.28494,10.57826,895.30189,1452.235789,0,0,0
137.62846,10.57056,895.23824,1454.809894,0,0,0
137.60543,10.55886,895.04918,1452.956471,0,0,0
136.36499,10.59384,894.70448,1444.628886,0,0,0
137.3642,10.57957,894.8103,1453.254169,0,0,0
138.55348,10.53426,894.71726,1459.558382,0,0,0
137.59819,10.53194,894.80583,1449.175881,0,0,0
134.48924,10.55813,895.10581,1419.95488,0,0,0
137.75752,10.57739,894.89716,1457.115014,0,0,0
138.3452,10.54623,895.05492,1459.020299,0,0,0
138.50686,10.53443,894.82328,1459.090821,0,0,0
139.90168,10.53102,894.93996,1473.30739,0,0,0
135.43501,10.50965,894.93783,1423.374553,0,0,0
133.61706,10.5369,895.20502,1407.9096,0,0,0
139.45486,10.5598,895.72344,1472.615431,0,0,0
135.50329,10.56138,895.57505,1431.101737,0,0,0
137.10931,10.54167,895.28912,1445.3611,0,0,0
139.4789,10.53822,895.43751,1469.859334,0,0,0
137.09033,10.54468,895.30338,1445.573661,0,0,0
137.74932,10.54534,895.54056,1452.613414,0,0,0
137.48968,10.53188,895.46178,1448.024811,0,0,0
136.64407,10.56592,895.50245,1443.770312,0,0,0
138.43691,10.57581,895.30338,1464.082457,0,0,0
137.74877,10.53384,894.65999,1451.023503,0,0,0
137.14732,10.56987,894.67063,1449.629343,0,0,0
137.7889,10.58908,894.53778,1459.057685,0,0,0
136.12907,10.55904,894.74579,1437.392295,0,0,0
141.25686,10.5389,894.86182,1488.691922,0,0,0
140.60475,10.52855,894.65104,1480.364141,0,0,0
136.43585,10.5606,894.78454,1440.844438,0,0,0
137.76846,10.56515,894.9638,1455.544445,0,0,0
136.04541,10.50996,894.67553,1429.831817,0,0,0
139.60376,10.53728,894.64189,1471.043908,0,0,0
137.39584,10.5737,894.97232,1452.782393,0,0,0
136.99012,10.57679,894.98978,1448.915731,0,0,0
137.15826,10.57674,894.95592,1450.687255,0,0,0
138.63355,10.5418,894.88928,1461.447157,0,0,0
136.44298,10.52956,894.97849,1436.684544,0,0,0
138.8773,10.54023,895.19842,1463.798684,0,0,0
137.29259,10.53228,894.99638,1446.004,0,0,0
137.15805,10.52814,894.98552,1444.019153,0,0,0
138.329,10.54919,895.22802,1459.258904,0,0,0
136.41094,10.56348,894.67361,1440.974236,0,0,0
136.5189,10.57585,895.86439,1443.803409,0,0,0
134.90685,10.56704,895.47349,1425.56608,0,0,0
136.45791,10.54077,895.73047,1438.371444,0,0,0
137.99187,10.56443,895.46753,1457.805451,0,0,0
137.77347,10.57311,895.61806,1456.694053,0,0,0
137.60244,10.54601,895.58335,1451.156708,0,0,0
137.39624,10.53194,895.55099,1447.048956,0,0,0
138.96679,10.56393,895.81414,1468.035442,0,0,0
139.71344,10.57059,895.60677,1476.853492,0,0,0
134.57528,10.56217,895.32659,1421.406985,0,0,0
134.52107,10.69258,895.40132,1438.377303,0,0,0
137.79113,10.67591,895.40111,1471.045703,0,0,0
136.84875,10.61337,895.32872,1452.426418,0,0,0
138.23775,10.64313,895.4241,1471.282344,0,0,0
134.10042,10.65419,895.22163,1428.731354,0,0,0
135.79771,10.64233,895.10049,1445.204043,0,0,0
133.27233,10.60759,895.31169,1413.698235,0,0,0
136.58045,10.63628,895.15733,1452.707909,0,0,0
139.40991,10.64111,895.1601,1483.476187,0,0,0
133.91325,10.63669,895.44965,1424.393727,0,0,0
138.81981,10.66436,895.44624,1480.424429,0,0,0
136.63324,10.63944,895.71983,1453.701159,0,0,0
137.45328,10.64613,895.6715,1463.345488,0,0,0
136.74155,10.65429,895.40026,1456.884129,0,0,0
133.60208,10.63434,895.65319,1420.769943,0,0,0
136.85321,10.64851,895.59868,1457.282775,0,0,0
135.56903,10.67263,895.5446,1446.878097,0,0,0
137.94221,10.66627,895.54226,1471.328856,0,0,0
138.70628,10.62748,895.48158,1474.098217,0,0,0
133.00079,10.63967,895.59741,1415.084515,0,0,0
139.96059,10.57155,895.64595,1479.600375,0,0,0
136.90063,10.56757,896.0049,1446.706991,0,0,0
139.75323,10.5357,895.72132,1472.398105,0,0,0
137.50451,10.55939,895.75389,1451.963748,0,0,0
137.08082,10.60152,895.75432,1453.265055,0,0,0
135.19373,10.54867,895.78029,1426.114044,0,0,0
132.63596,10.55578,895.66404,1400.076014,0,0,0
137.56241,10.57174,895.9257,1454.274032,0,0,0
135.2485,10.55457,895.60209,1427.489761,0,0,0
137.53244,10.53228,895.57973,1448.530167,0,0,0
137.39619,10.5046,895.91485,1443.292017,0,0,0
137.80596,10.45021,895.63551,1440.101221,0,0,0
138.68963,10.44403,895.87376,1448.478656,0,0,0
137.72933,10.48376,895.84352,1443.921241,0,0,0
138.0027,10.48054,895.86247,1446.342817,0,0,0
137.54474,10.47937,895.82266,1441.382222,0,0,0
141.2803,10.45416,895.98894,1476.966861,0,0,0
135.5579,10.46171,896.06622,1418.167438,0,0,0
139.50659,10.4537,896.01363,1458.36004,0,0,0
136.96643,10.444,895.80328,1430.477395,0,0,0
138.23901,10.49828,896.31213,1451.271834,0,0,0
138.75836,10.50673,896.2704,1457.896624,0,0,0
137.93968,10.41278,896.4107,1436.335541,0,0,0
140.20521,10.44075,896.26869,1463.847546,0,0,0
138.35274,10.47848,896.21972,1449.726419,0,0,0
138.679,10.43583,896.2061,1447.230469,0,0,0
137.32452,10.4177,896.6598,1430.605652,0,0,0
139.93306,10.46403,896.18864,1464.263738,0,0,0
136.92442,10.50891,896.18694,1438.926407,0,0,0
139.17486,10.43349,896.51034,1452.07951,0,0,0
136.5309,10.48279,895.75836,1431.224753,0,0,0
137.88163,10.46437,896.03471,1442.844393,0,0,0
139.28621,10.47102,895.93805,1458.468691,0,0,0
137.52151,10.4698,895.74197,1439.822705,0,0,0
138.49876,10.45186,896.14372,1447.56965,0,0,0
140.54321,10.47424,896.11263,1472.083312,0,0,0
136.34914,10.50995,895.98383,1433.022644,0,0,0
138.57838,10.48259,895.94763,1452.66034,0,0,0
137.90203,10.47105,896.02385,1443.979051,0,0,0
138.97828,10.47043,895.95083,1455.162352,0,0,0
137.77316,10.47497,896.49097,1443.169718,0,0,0
140.19245,10.45877,896.34704,1466.24059,0,0,0
137.68044,10.47927,896.42326,1442.790504,0,0,0
139.60098,10.4856,896.49267,1463.800036,0,0,0
137.62345,10.46057,896.5444,1439.619732,0,0,0
139.34649,10.4648,896.39346,1458.233149,0,0,0
134.89192,10.48159,896.55739,1413.8818,0,0,0
138.19468,10.50922,896.66235,1452.318295,0,0,0
138.95646,10.48316,896.6796,1456.702803,0,0,0
135.56159,10.4497,896.67726,1416.577947,0,0,0
141.73658,10.39472,896.33959,1473.312063,0,0,0
140.34404,10.35415,896.41411,1453.143242,0,0,0
140.1139,10.34358,896.38813,1449.279334,0,0,0
137.83846,10.40221,896.42475,1433.824607,0,0,0
139.7384,10.39526,896.15564,1452.617,0,0,0
143.82749,10.36402,896.38515,1490.630983,0,0,0
138.43367,10.35153,896.45498,1433.000288,0,0,0
141.05906,10.38031,896.57123,1464.236771,0,0,0
139.71597,10.41797,896.37536,1455.556784,0,0,0
138.57327,10.42789,896.30616,1445.026817,0,0,0
139.4663,10.44235,896.38068,1456.355918,0,0,0
137.2071,10.45506,896.25933,1434.508463,0,0,0
137.62107,10.43513,896.254,1436.093756,0,0,0
137.96317,10.44725,896.54164,1441.335728,0,0,0
139.2896,10.45001,896.20993,1455.577713,0,0,0
140.28437,10.4675,896.26337,1468.426643,0,0,0
137.40237,10.47742,896.57677,1439.622339,0,0,0
138.36185,10.43065,896.32234,1443.204031,0,0,0
135.96671,10.45556,896.32937,1421.608094,0,0,0
139.50046,10.50734,896.58869,1465.778763,0,0,0
140.94235,10.4786,896.7703,1476.878509,0,0,0
142.86861,10.46986,896.84673,1495.814345,0,0,0
139.41037,10.51097,896.94956,1465.338217,0,0,0
138.36585,10.51199,896.65746,1454.500432,0,0,0
135.97875,10.49577,897.00108,1427.201685,0,0,0
139.46913,10.4883,896.82288,1462.794076,0,0,0
138.65506,10.47362,896.80032,1452.22041,0,0,0
138.51435,10.50113,896.94616,1454.557196,0,0,0
137.68823,10.49285,896.69557,1444.741944,0,0,0
138.36069,10.4497,896.74092,1445.827702,0,0,0
138.94806,10.56057,897.33854,1467.370714,0,0,0
137.83628,10.60869,897.35664,1462.262365,0,0,0
135.74689,10.59774,897.11392,1438.610246,0,0,0
137.57602,10.563,897.17929,1453.215499,0,0,0
137.18746,10.60421,897.18078,1454.764635,0,0,0
137.26642,10.6221,897.25295,1458.05764,0,0,0
136.17827,10.52569,897.02748,1433.370255,0,0,0
138.77329,10.52225,897.1646,1460.207251,0,0,0
137.36091,10.5882,897.44009,1454.404787,0,0,0
135.06386,10.61638,897.25934,1433.889262,0,0,0
141.42642,10.56469,896.79265,1494.126285,0,0,0
137.4425,10.5202,897.18823,1445.922589,0,0,0
137.82357,10.56409,896.9519,1455.980598,0,0,0
134.83726,10.64001,897.05985,1434.669795,0,0,0
137.30018,10.58174,897.09072,1452.874807,0,0,0
137.32361,10.54515,897.04239,1448.098066,0,0,0
138.11759,10.5846,897.15565,1461.919443,0,0,0
140.27399,10.5813,897.191,1484.28117,0,0,0
140.35305,10.57202,897.04878,1483.815252,0,0,0
139.55609,10.56472,897.18376,1474.371015,0,0,0
136.27358,10.5839,896.98746,1442.305943,0,0,0
137.50025,10.61592,897.31129,1459.691654,0,0,0
136.82744,10.53975,897.11179,1442.127011,0,0,0
138.12908,10.54656,896.86121,1456.78663,0,0,0
137.66854,10.55287,897.13415,1452.798206,0,0,0
135.92019,10.55807,896.92976,1435.05488,0,0,0
138.98233,10.55286,897.17716,1466.661071,0,0,0
141.2686,10.53778,896.97894,1488.657428,0,0,0
134.64265,10.58465,897.26296,1425.145325,0,0,0
141.86519,10.57981,897.42178,1500.906756,0,0,0
137.73971,10.54974,896.97979,1453.118128,0,0,0
137.43081,10.58347,897.31597,1454.494855,0,0,0
138.20662,10.55598,897.03579,1458.906317,0,0,0
138.44673,10.55474,897.32342,1461.269239,0,0,0
138.54842,10.55156,897.18631,1461.901967,0,0,0
137.94657,10.58567,897.2076,1460.256868,0,0,0
133.3232,10.59519,897.58828,1412.584635,0,0,0
136.33963,10.56917,897.25806,1440.996727,0,0,0
139.5157,10.59343,897.37793,1477.949802,0,0,0
137.79472,10.57919,897.27978,1457.756524,0,0,0
136.13095,10.69147,897.61382,1455.439968,0,0,0
135.82635,10.67428,897.41604,1449.848491,0,0,0
137.13158,10.66543,897.57231,1462.567267,0,0,0
135.87186,10.65405,897.65619,1447.58559,0,0,0
136.07907,10.65437,897.46692,1449.836761,0,0,0
135.55714,10.63407,897.55464,1441.524116,0,0,0
137.94733,10.66812,897.77137,1471.63867,0,0,0
136.52994,10.67832,897.70282,1457.910389,0,0,0
136.06318,10.64434,897.86101,1448.302749,0,0,0
135.49838,10.66174,897.48523,1444.648498,0,0,0
133.82326,10.61807,897.13947,1420.944742,0,0,0
135.61899,10.63187,896.98405,1441.883471,0,0,0
135.55349,10.6597,897.03813,1444.959537,0,0,0
138.06809,10.64938,897.18546,1470.339556,0,0,0
134.18196,10.61786,897.09604,1424.725266,0,0,0
136.81646,10.66037,897.13947,1458.514086,0,0,0
137.40844,10.69114,897.2406,1469.052869,0,0,0
135.11113,10.66908,897.33407,1441.511455,0,0,0
137.04458,10.65718,897.35216,1460.508757,0,0,0
137.25533,10.67178,897.14075,1464.758686,0,0,0
138.74009,10.59326,897.23677,1469.709846,0,0,0
138.23593,10.56447,897.2274,1460.389335,0,0,0
134.10857,10.58766,897.24082,1419.895942,0,0,0
136.23567,10.59281,897.43626,1443.118568,0,0,0
137.50233,10.54743,897.16694,1450.296201,0,0,0
